haystack,question_key,n_needles,max_rank,min_rank,all_ranks,max_rank_q_id,max_rank_needle_item_id,chars,pct_of_haystack,haystack_chars,k_used,n_total_chunks,mean_chunk_chars,min_chunk_chars,max_chunk_chars
10000_rand_book_1,onehop,4,2,1,1|1|1|2,0405_onehop,0405,118,1.18,10000,2,71,59.0,55,63
20000_rand_book_1,onehop,4,4,1,1|1|2|4,0405_onehop,0405,850,4.25,20000,4,135,212.5,52,563
30000_rand_book_1,onehop,4,4,1,1|1|1|4,0405_onehop,0405,758,2.5267,30000,4,169,189.5,55,424
40000_rand_book_1,onehop,4,3,1,1|1|1|3,0405_onehop,0405,363,0.9075,40000,3,226,121.0,55,194
50000_rand_book_1,onehop,4,1,1,1|1|1|1,0402Inv_onehop,0402Inv,62,0.124,50000,1,290,62.0,62,62
60000_rand_book_1,onehop,4,11,1,1|1|1|11,0405_onehop,0405,1556,2.5933,60000,11,392,141.45,55,333
70000_rand_book_1,onehop,4,13,1,1|1|2|13,0405_onehop,0405,2258,3.2257,70000,13,407,173.69,16,494
80000_rand_book_1,onehop,4,4,1,1|1|2|4,0405_onehop,0405,1415,1.7688,80000,4,453,353.75,55,655
90000_rand_book_1,onehop,4,7,1,1|1|2|7,0405_onehop,0405,1721,1.9122,90000,7,515,245.86,41,788
100000_rand_book_1,onehop,4,14,1,1|1|1|14,0405_onehop,0405,3284,3.284,100000,14,542,234.57,12,622
200000_rand_book_1,onehop,4,17,1,1|1|4|17,0405_onehop,0405,4985,2.4925,200000,17,1161,293.24,25,680
300000_rand_book_1,onehop,4,41,1,1|1|6|41,0405_onehop,0405,7879,2.6263,300000,41,1775,192.17,27,1064
400000_rand_book_1,onehop,4,57,1,1|1|15|57,0405_onehop,0405,10185,2.5463,400000,57,2319,178.68,13,1064
500000_rand_book_1,onehop,4,48,1,1|1|7|48,0405_onehop,0405,11106,2.2212,500000,48,2858,231.38,24,1009
600000_rand_book_1,onehop,4,68,1,1|1|14|68,0405_onehop,0405,12182,2.0303,600000,68,3502,179.15,17,559
700000_rand_book_1,onehop,4,45,1,1|1|4|45,0405_onehop,0405,9589,1.3699,700000,45,4086,213.09,13,1615
800000_rand_book_1,onehop,4,90,1,1|1|19|90,0405_onehop,0405,18310,2.2887,800000,90,4641,203.44,17,806
900000_rand_book_1,onehop,4,94,1,1|1|15|94,0405_onehop,0405,22216,2.4684,900000,94,5229,236.34,10,1764
1000000_rand_book_1,onehop,4,104,1,1|1|19|104,0405_onehop,0405,23589,2.3589,1000000,104,5671,226.82,6,1615
