hop,context_length,standard_answer_acc,standard_combined_acc,answer_only_acc,delta_pp
onehop,10000,100.0,100.0,100.0,0.0
onehop,20000,100.0,100.0,100.0,0.0
onehop,30000,100.0,100.0,87.5,-12.5
onehop,40000,100.0,94.12,100.0,0.0
onehop,50000,100.0,100.0,93.75,-6.25
onehop,60000,88.24,88.24,100.0,11.76
onehop,70000,100.0,100.0,100.0,0.0
onehop,80000,93.75,93.75,100.0,6.25
onehop,90000,100.0,100.0,100.0,0.0
onehop,100000,93.75,93.75,100.0,6.25
onehop,150000,87.5,87.5,93.75,6.25
onehop,200000,94.12,94.12,100.0,5.88
onehop,250000,87.5,87.5,87.5,0.0
onehop,300000,88.89,88.89,81.25,-7.64
onehop,350000,93.75,93.75,68.75,-25.0
onehop,400000,87.5,81.25,75.0,-12.5
onehop,450000,93.75,81.25,93.75,0.0
onehop,500000,75.0,68.75,75.0,0.0
onehop,600000,87.5,87.5,75.0,-12.5
onehop,650000,87.5,75.0,75.0,-12.5
onehop,700000,75.0,56.25,56.25,-18.75
twohop,10000,100.0,100.0,87.5,-12.5
twohop,20000,100.0,100.0,100.0,0.0
twohop,30000,94.44,94.44,93.75,-0.69
twohop,40000,94.12,94.12,100.0,5.88
twohop,50000,94.12,94.12,93.75,-0.37
twohop,60000,87.5,87.5,68.75,-18.75
twohop,70000,100.0,100.0,81.25,-18.75
twohop,80000,100.0,94.12,75.0,-25.0
twohop,90000,88.89,88.89,81.25,-7.64
twohop,100000,88.89,88.89,81.25,-7.64
twohop,150000,81.25,81.25,75.0,-6.25
twohop,200000,64.71,64.71,50.0,-14.71
twohop,250000,62.5,62.5,43.75,-18.75
twohop,300000,64.71,58.82,43.75,-20.96
twohop,350000,50.0,50.0,25.0,-25.0
twohop,400000,70.59,58.82,50.0,-20.59
twohop,450000,68.75,62.5,62.5,-6.25
twohop,500000,50.0,50.0,37.5,-12.5
twohop,600000,75.0,75.0,68.75,-6.25
twohop,650000,75.0,62.5,43.75,-31.25
twohop,700000,50.0,37.5,50.0,0.0
