Model,Hop,10K,20K,30K,40K,50K,60K,70K,80K,90K,100K,150K,200K,250K,300K,350K,400K,450K,500K,600K,650K,700K,750K,800K,850K,900K,950K,1M
GPT-4o,onehop,75.0,87.5,81.2,87.5,68.8,75.0,100.0,75.0,93.8,87.5,75.0,62.5,68.8,68.8,68.8,56.2,68.8,62.5,,,,,,,,,
GPT-4.1,onehop,100.0,100.0,93.8,100.0,100.0,93.8,100.0,100.0,100.0,100.0,93.8,100.0,100.0,100.0,100.0,87.5,87.5,93.8,93.8,68.8,93.8,81.2,81.2,100.0,75.0,93.8,81.2
O3-mini,onehop,81.2,81.2,87.5,87.5,81.2,75.0,62.5,93.8,75.0,75.0,50.0,75.0,62.5,43.8,25.0,37.5,37.5,31.2,25.0,31.2,18.8,37.5,,,,,
GPT-5,onehop,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Sonnet-4,onehop,100.0,100.0,100.0,100.0,100.0,87.5,100.0,100.0,93.8,93.8,87.5,93.8,81.2,93.8,81.2,93.8,100.0,87.5,87.5,87.5,81.2,,,,,,
Sonnet-4.5,onehop,100.0,100.0,100.0,100.0,100.0,87.5,100.0,93.8,100.0,93.8,87.5,100.0,87.5,87.5,93.8,87.5,93.8,75.0,87.5,87.5,75.0,,,,,,
Gemini-2.5-Fl,onehop,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0,87.5,93.8,87.5,87.5,93.8,93.8,75.0,100.0,93.8
Gemini-3-Fl,onehop,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GPT-4o,twohop,68.8,81.2,86.7,75.0,68.8,68.8,56.2,56.2,81.2,56.2,50.0,43.8,37.5,31.2,37.5,43.8,43.8,62.5,,,,,,,,,
GPT-4.1,twohop,100.0,93.8,93.8,100.0,100.0,87.5,100.0,100.0,93.8,93.8,100.0,100.0,93.8,100.0,81.2,87.5,81.2,81.2,81.2,75.0,87.5,93.8,81.2,56.2,62.5,81.2,68.8
O3-mini,twohop,68.8,68.8,62.5,56.2,68.8,37.5,37.5,62.5,50.0,50.0,50.0,56.2,50.0,37.5,12.5,43.8,31.2,37.5,25.0,25.0,18.8,18.8,,,,,
GPT-5,twohop,87.5,93.8,93.8,93.8,93.8,100.0,100.0,93.8,93.3,86.7,100.0,100.0,100.0,100.0,93.8,93.8,93.8,93.3,93.8,93.3,100.0,100.0,87.5,100.0,80.0,81.2,87.5
Sonnet-4,twohop,87.5,87.5,81.2,93.8,81.2,75.0,81.2,93.8,68.8,87.5,37.5,68.8,50.0,62.5,56.2,56.2,62.5,56.2,81.2,43.8,50.0,,,,,,
Sonnet-4.5,twohop,100.0,100.0,93.8,93.8,100.0,87.5,100.0,100.0,100.0,87.5,81.2,62.5,62.5,62.5,50.0,75.0,68.8,50.0,75.0,75.0,50.0,,,,,,
Gemini-2.5-Fl,twohop,93.8,81.2,87.5,75.0,62.5,62.5,56.2,68.8,68.8,50.0,62.5,56.2,50.0,56.2,50.0,75.0,56.2,37.5,25.0,25.0,25.0,12.5,37.5,25.0,18.8,37.5,31.2
Gemini-3-Fl,twohop,68.8,75.0,80.0,93.3,93.3,87.5,87.5,80.0,87.5,93.8,100.0,87.5,93.8,93.8,100.0,86.7,81.2,100.0,93.8,100.0,87.5,93.3,80.0,100.0,91.7,93.8,93.3
