model,reasoning_hop,needle_id,rel_delta_pp,abs_acc_pp,n_contexts
claude-sonnet-4-20250514,onehop,0402,11.430606430606431,98.25159408492742,21
claude-sonnet-4-20250514,onehop,0402Inv,11.741283407950075,98.56227106227107,21
claude-sonnet-4-20250514,onehop,0405,-6.00393433726767,80.81705331705332,21
claude-sonnet-4-20250514,onehop,0405Inv,-17.167955501288837,69.65303215303214,21
claude-sonnet-4-20250514,twohop,0402,11.51336318002985,71.8532085198752,21
claude-sonnet-4-20250514,twohop,0402Inv,19.84839234839235,80.18823768823769,21
claude-sonnet-4-20250514,twohop,0405,-15.744658119658121,44.90384615384615,20
claude-sonnet-4-20250514,twohop,0405Inv,-16.3668430335097,43.97300230633564,21
claude-sonnet-4-5-20250929,onehop,0402,10.81086351919685,96.4343372676706,21
claude-sonnet-4-5-20250929,onehop,0402Inv,12.139380681047347,97.7628544295211,21
claude-sonnet-4-5-20250929,onehop,0405,-11.172924297924299,74.45054945054946,21
claude-sonnet-4-5-20250929,onehop,0405Inv,-11.777319902319903,73.84615384615384,21
claude-sonnet-4-5-20250929,twohop,0402,3.9482219169719173,77.21035137701804,21
claude-sonnet-4-5-20250929,twohop,0402Inv,9.946051248134582,83.2081807081807,21
claude-sonnet-4-5-20250929,twohop,0405,-6.591392789309455,66.67073667073667,21
claude-sonnet-4-5-20250929,twohop,0405Inv,-7.302880375797043,65.95924908424908,21
gemini-2-5-flash,onehop,0402,6.944444444444445,97.22222222222223,27
gemini-2-5-flash,onehop,0402Inv,8.173076923076923,98.5576923076923,26
gemini-2-5-flash,onehop,0405,-9.25925925925926,81.01851851851852,27
gemini-2-5-flash,onehop,0405Inv,-5.769230769230769,84.61538461538461,26
gemini-2-5-flash,twohop,0402,16.916666666666668,80.5,25
gemini-2-5-flash,twohop,0402Inv,21.527777777777775,85.41666666666667,24
gemini-2-5-flash,twohop,0405,-25.0,38.5,25
gemini-2-5-flash,twohop,0405Inv,-12.583333333333332,49.0,25
gemini-3-flash-preview,onehop,0402,0.0,100.0,25
gemini-3-flash-preview,onehop,0402Inv,0.0,100.0,26
gemini-3-flash-preview,onehop,0405,0.0,100.0,26
gemini-3-flash-preview,onehop,0405Inv,0.0,100.0,25
gemini-3-flash-preview,twohop,0402,5.689102564102565,100.0,26
gemini-3-flash-preview,twohop,0402Inv,5.528846153846154,100.0,26
gemini-3-flash-preview,twohop,0405,-5.083333333333333,89.0,25
gemini-3-flash-preview,twohop,0405Inv,-6.857638888888888,86.97916666666667,24
gpt-4-1,onehop,0402,7.32398174527804,99.64387464387464,27
gpt-4-1,onehop,0402Inv,7.326619710878969,99.64651260947558,27
gpt-4-1,onehop,0405,-13.120251661918328,79.19964123667829,27
gpt-4-1,onehop,0405Inv,-1.5303497942386846,90.78954310435792,27
gpt-4-1,twohop,0402,6.983823690554461,85.85771422309884,26
gpt-4-1,twohop,0402Inv,13.722367310330274,91.98981745278041,27
gpt-4-1,twohop,0405,-21.66594122612641,56.60150891632373,27
gpt-4-1,twohop,0405Inv,1.2184103619288809,79.48586050437903,27
gpt-4o,onehop,0402,28.60329613801836,99.35897435897435,18
gpt-4o,onehop,0402Inv,28.611210034821145,99.36688825577716,18
gpt-4o,onehop,0405,-25.717691516302626,45.03798670465338,18
gpt-4o,onehop,0405Inv,-31.49681465653688,39.258863564419116,18
gpt-4o,twohop,0402,21.297285533396643,77.12685976574865,18
gpt-4o,twohop,0402Inv,23.392489711934157,79.22206394428616,18
gpt-4o,twohop,0405,-26.694563152896485,29.135011079455523,18
gpt-4o,twohop,0405Inv,-19.05375398022457,37.608932461873636,17
gpt-5-2025-08-07,onehop,0402,6.740661601772714,99.19990503323837,27
gpt-5-2025-08-07,onehop,0402Inv,5.596839717210088,98.05608314867574,27
gpt-5-2025-08-07,onehop,0405,-18.249841722063945,74.20940170940172,27
gpt-5-2025-08-07,onehop,0405Inv,5.912340403081145,98.3715838345468,27
gpt-5-2025-08-07,twohop,0402,11.53415437738554,98.68471035137702,27
gpt-5-2025-08-07,twohop,0402Inv,10.49901667558117,97.64957264957265,27
gpt-5-2025-08-07,twohop,0405,-21.132565048593143,66.01799092539834,27
gpt-5-2025-08-07,twohop,0405Inv,-0.935244696849471,86.04161471203912,26
o3-mini-2025-01-31,onehop,0402,14.109838446093937,72.68165385812445,17
o3-mini-2025-01-31,onehop,0402Inv,23.450366259546087,82.1672951348285,16
o3-mini-2025-01-31,onehop,0405,-9.058140579960769,50.69780853517878,17
o3-mini-2025-01-31,onehop,0405Inv,-30.738981591800083,23.056226872318824,15
o3-mini-2025-01-31,twohop,0402,19.519502809433366,55.0201804368471,18
o3-mini-2025-01-31,twohop,0402Inv,25.456975605413106,60.84508547008547,20
o3-mini-2025-01-31,twohop,0405,-21.598434037670145,13.092058404558406,18
o3-mini-2025-01-31,twohop,0405Inv,-26.20659722222222,9.294080405191515,18
